BATTER,CANOEING,CLEATS,CROQUET,DUGOUT,HALFTIME,HOCKEY,ICEHOCKEY,ICERINK,KARATE,LACROSSE,MOUTHGUARD,NET,OUTFIELDER,PADDLEBALL,PINGPONG,POLE,QUARTER,RAFTING,ROWER,SLED,TEAMMATE,THROWING,TRAMPOLINE,UNICYCLIST
M,E,E,O,Q,M,B,W,U,T,P,G,C,Q,H,K,X,G,I,D
V,O,L,M,C,M,L,D,S,O,A,H,N,V,Y,K,E,G,C,S
L,M,U,O,I,H,Y,I,B,C,D,W,O,I,Z,I,A,O,E,X
F,T,K,T,P,T,L,M,R,H,D,F,F,R,T,V,M,L,R,K
T,D,C,P,H,C,F,O,Z,M,L,N,J,E,Y,F,A,X,I,O
L,K,Z,S,Y,G,Q,L,F,S,E,P,T,D,T,T,A,L,N,V
Z,L,J,C,G,U,U,G,A,C,B,F,E,L,L,L,L,R,K,W
U,B,I,C,E,N,H,A,I,H,A,K,N,E,Q,J,E,N,E,B
E,N,M,T,E,W,Q,C,R,U,L,G,W,I,C,L,V,Y,T,A
U,T,N,D,I,X,E,T,K,D,L,B,O,F,L,K,W,V,A,T
R,C,E,D,U,H,O,G,G,Y,D,R,E,T,R,A,U,Q,R,T
S,W,P,A,O,G,N,I,E,O,N,A,C,U,V,Y,L,G,A,E
Y,N,T,C,M,I,O,K,O,L,A,C,R,O,S,S,E,N,K,R
H,R,K,V,W,M,C,U,R,C,L,E,A,T,S,V,E,O,Z,I
S,E,Z,O,P,O,A,O,T,O,U,I,Z,I,U,U,T,P,Z,I
Y,W,R,R,H,D,W,T,R,A,M,P,O,L,I,N,E,G,K,D
F,H,L,W,D,E,L,S,E,W,D,T,A,L,J,I,W,N,Q,D
T,M,E,M,R,K,M,E,A,M,K,E,W,W,U,Q,C,I,N,W
L,Q,D,R,M,N,U,Y,F,T,W,O,Y,D,G,A,X,P,O,Q
J,T,K,C,G,N,G,F,C,M,W,Z,Z,L,L,I,F,G,V,S